legajo,nivel,titulo,colacion,promedio,promedio_lineal
48031,Grado,Ingeniero en Petróleo,52,5.46,6.21
53115,Grado,Ingeniero Industrial,52,7.08,7.31
53165,Grado,Ingeniero Industrial,52,6.58,6.96
50242,Grado,Ingeniero en Petróleo,52,6.14,6.76
50422,Grado,Ingeniero en Petróleo,52,6.18,6.65
47155,Grado,Ingeniero en Informática,52,6.54,6.82
50409,Grado,Ingeniero en Informática,52,8.32,8.23
50817,Grado,Ingeniero en Informática,52,6.62,7.22
52508,Grado,Ingeniero en Informática,52,6.83,7.08
49076,Grado,Ingeniero Industrial,52,6.26,6.59
46425,Grado,Ingeniero Industrial,53,6.14,6.92
53175,Grado,Ingeniero Electrónico,52,7.93,8
53787,Grado,Lic.en Administración y Sistemas,52,7.26,7.39
51382,Grado,Ingeniero Mecánico,52,6.37,6.47
52046,Grado,Ingeniero Industrial,52,6.05,6.64
50120,Grado,Ingeniero en Informática,52,6.42,6.89
50453,Grado,Ingeniero en Informática,52,7.24,7.45
50570,Grado,Ingeniero Industrial,52,6.29,6.54
52358,Grado,Ingeniero Industrial,52,7.41,7.5
52528,Grado,Ingeniero Industrial,52,6.98,7.48
53068,Grado,Ingeniero Industrial,52,8.16,8.31
53082,Grado,Ingeniero Industrial,52,6.86,7.1
53084,Grado,Ingeniero Industrial,52,6.4,6.69
53208,Grado,Ingeniero Industrial,52,7.46,7.69
53210,Grado,Ingeniero Industrial,52,7.23,7.46
53070,Grado,Ingeniero Industrial,52,7.31,7.51
52042,Grado,Ingeniero Industrial,52,6.16,6.82
42245,Grado,Ingeniero Industrial,52,7.78,7.82
48245,Grado,Ingeniero Industrial,52,5,5.84
48358,Grado,Ingeniero Mecánico,52,5.87,6.21
52375,Grado,Ingeniero Electricista,52,7.48,7.51
52377,Grado,Ingeniero Electricista,52,6.2,6.48
50174,Grado,Ingeniero Mecánico,52,5.93,6.43
50220,Grado,Ingeniero Industrial,52,7.08,7.18
52095,Grado,Ingeniero en Informática,52,7.01,7.4
52212,Grado,Ingeniero en Informática,52,6.87,7.12
52107,Grado,Ingeniero Industrial,52,6.13,6.44
52069,Grado,Ingeniero Industrial,52,6.85,6.96
52063,Grado,Ingeniero Industrial,52,5.59,6.1
52037,Grado,Ingeniero Industrial,52,6.15,6.47
51244,Grado,Ingeniero Industrial,52,6.03,6.51
51291,Grado,Ingeniero Industrial,52,5.89,6.32
51648,Grado,Ingeniero Industrial,52,5.95,6.38
50577,Grado,Ingeniero Electrónico,52,5.88,6.05
52441,Grado,Ingeniero Electrónico,52,8.44,8.41
53339,Grado,Ingeniero Electrónico,52,7.19,7.26
53370,Grado,Ingeniero Electrónico,52,8.23,8.22
53387,Grado,Ingeniero Electrónico,52,7.87,7.91
